Species,Common names,Images,Wikipedia,Wikimedia Commons,iNaturalist
Taxus baccata,"European Yew, English Yew, Yew, Common Yew",https://inaturalist.org/taxa/47553/browse_photos,https://en.wikipedia.org//wiki/Taxus_baccata,https://commons.wikimedia.org/wiki/Taxus baccata,https://inaturalist.org/taxa/47553
Larix decidua,"Larix Europaea Lam. & A. Dc., European Larch",https://inaturalist.org/taxa/59747/browse_photos,https://en.wikipedia.org//wiki/Larix_decidua,https://commons.wikimedia.org/wiki/Larix decidua,https://inaturalist.org/taxa/59747
Euonymus kiautschovica,Creeping Strawberry Bush,https://inaturalist.org/taxa/162777/browse_photos,,,https://inaturalist.org/taxa/162777
Platanus orientalis,"Oriental Plane-Tree, Chinar, Oriental Plane",https://inaturalist.org/taxa/181682/browse_photos,https://en.wikipedia.org//wiki/Platanus_orientalis,https://commons.wikimedia.org/wiki/Platanus orientalis,https://inaturalist.org/taxa/181682
Viburnum prunifolium,"Black Haw, Blackhaw",https://inaturalist.org/taxa/129977/browse_photos,https://en.wikipedia.org//wiki/Viburnum_prunifolium,https://commons.wikimedia.org/wiki/Viburnum prunifolium,https://inaturalist.org/taxa/129977
Morus alba,"White Mulberry, Weeping Mulberry",https://inaturalist.org/taxa/56090/browse_photos,https://en.wikipedia.org//wiki/Morus_alba,https://commons.wikimedia.org/wiki/Morus alba,https://inaturalist.org/taxa/56090
Carya tomentosa,Mockernut Hickory,https://inaturalist.org/taxa/84305/browse_photos,https://en.wikipedia.org//wiki/Carya_tomentosa,https://commons.wikimedia.org/wiki/Carya tomentosa,https://inaturalist.org/taxa/84305
Gymnocladus dioica,"Gymnocladus Dioicus, Kentucky Coffeetree, Kentucky coffee tree",https://inaturalist.org/taxa/163451/browse_photos,https://en.wikipedia.org//wiki/Gymnocladus_dioica,https://commons.wikimedia.org/wiki/Gymnocladus dioicus,https://inaturalist.org/taxa/163451
Quercus phellos,Willow Oak,https://inaturalist.org/taxa/119983/browse_photos,https://en.wikipedia.org//wiki/Quercus_phellos,https://commons.wikimedia.org/wiki/Quercus phellos,https://inaturalist.org/taxa/119983
Maclura pomifera,"Osage-Orange, Bow-Wood, Osage Orange, Yellowwood, Bodark, Horse-Apple",https://inaturalist.org/taxa/58205/browse_photos,https://en.wikipedia.org//wiki/Maclura_pomifera,https://commons.wikimedia.org/wiki/Maclura pomifera,https://inaturalist.org/taxa/58205
Pinus nigra,"Austrian Pine, European Black Pine, Corsican Pine, Black Pine",https://inaturalist.org/taxa/135790/browse_photos,https://en.wikipedia.org//wiki/Pinus_nigra,https://commons.wikimedia.org/wiki/Pinus nigra,https://inaturalist.org/taxa/135790
Ilex crenata,"Japanese Holly, Boxleaf holly, Japanese holly",https://inaturalist.org/taxa/133240/browse_photos,,https://commons.wikimedia.org/wiki/Ilex crenata,https://inaturalist.org/taxa/133240
Platanus hispanica,"Platanus × Hybrida, London Plane, Platanus ×Hispanica 'Acerifolia'",,https://en.wikipedia.org//wiki/Platanus_hispanica,https://commons.wikimedia.org/wiki/Platanus × hispanica,
Acer campestre,Field Maple,https://inaturalist.org/taxa/56193/browse_photos,https://en.wikipedia.org//wiki/Acer_campestre,https://commons.wikimedia.org/wiki/Acer campestre,https://inaturalist.org/taxa/56193
Fagus sylvatica,"European Beech, Common Beech, Purple Beech, European Beech",https://inaturalist.org/taxa/372476/browse_photos,https://en.wikipedia.org//wiki/Fagus_sylvatica,https://commons.wikimedia.org/wiki/Fagus sylvatica,https://inaturalist.org/taxa/372476
Quercus cerris,"European Turkey Oak, Turkey Oak, Mossy-Cup Oak",https://inaturalist.org/taxa/135408/browse_photos,https://en.wikipedia.org//wiki/Quercus_cerris,https://commons.wikimedia.org/wiki/Quercus cerris,https://inaturalist.org/taxa/135408
Quercus coccinea,Scarlet Oak,https://inaturalist.org/taxa/54784/browse_photos,https://en.wikipedia.org//wiki/Quercus_coccinea,https://commons.wikimedia.org/wiki/Quercus coccinea,https://inaturalist.org/taxa/54784
Ulmus carpinifolia,"Smooth-Leafed Elm, Smooth-leaved elm, Smooth-leafed elm",https://inaturalist.org/taxa/464260/browse_photos,,,https://inaturalist.org/taxa/464260
Pinus strobus,"Soft Pine, Eastern White Pine, Northern White Pine, Weymouth Pine, White pine",https://inaturalist.org/taxa/52391/browse_photos,https://en.wikipedia.org//wiki/Pinus_strobus,https://commons.wikimedia.org/wiki/Pinus strobus,https://inaturalist.org/taxa/52391
Quercus rubra,"American Red Oak, Northern Red Oak, Low-branched red oak",https://inaturalist.org/taxa/49005/browse_photos,https://en.wikipedia.org//wiki/Quercus_rubra,https://commons.wikimedia.org/wiki/Quercus rubra,https://inaturalist.org/taxa/49005
