Name,Description,Excerpt,Tree species,Tour,Sequence
Front Matter,"Tree Trails in Prospect Park

...","Tree Trails in Prospect Park

By George Kalmbacher, Taxonomist, Brooklyn Botanic Garden, and M. M. Graff

© 1968 Greensward Foundation, Inc.  All rights reserved.

""The Camperdown Elm"" by Marianne Moore 
From the Complete Poems of Marianne Moore 
Copyright © 1967 by Marianne Moore
Originally appeared in The New Yorker
Reprinted by permission of The Viking Press, Inc.

Publication of this guide to trees in Prospect Park was made possible by generous gifts from the following: John W. Corrington, Jr.; J. M. Kaplan Fund, Inc.; Charles Lauriston Livingston, Jr., in memory of his sister, Cornelia Duryea Livingston Graeser; Elise W. Stutzer; John T. Underwood Foundation.",,Introduction,1
INTRODUCTION,Here is an invitation to an outdoor...,"Here is an invitation to an outdoor adventure.

Learning to recognize trees on an unmarked trail is like a treasure hunt. We provide the clues: you have the fun of following them. If you lose the trail, backtrack to a numbered lamp post and try again. The numbers are on small bands about three feet above ground, just below the ornamental wreath which separates the shaft of the lamp post from its base.

Beginners are advised to concentrate on the trees most frequently planted in Prospect Park: oaks, lindens, sophora, maples, tulip trees. If you learn only two trees on your first outing, choose the white oak and the tulip tree. These appear on all the tours, sometimes more than once. When you are sure of these guideposts, you will find the next tour easier to follow.

There is no typical leaf form any more than there is a typical New Yorker. For this reason, a pictured leaf can give only a hint of the variations to be found within a species or even on the same tree. Beginners tend to rely too much on leaf form, sometimes missing easier and more constant keys such as bark or fruit. With practise, the separate characteristics -- leaves, bark, twigs, buds, fruit, and branching habit -- begin to merge into a single impression. You will find yourself recognizing trees, as you do your friends, at a glance.

Tour I is equally divided between native and exotic trees and serves as introduction to the most frequently encountered trees in the Park, as well as to the rarest, the Camperdown elm. On Tour II, natives outnumber exotics two to one. There are two opportunities to compare and review the native oaks, and to admire the oldest tree in Prospect Park, the great American elm on the Nethermead. Tour III contains twice as many exotics as natives. Many of these are moderate growers like magnolias and flowering cherries.These and two outstanding Japanese cut-leaf maples are of particular interest to home gardeners. Tour IV is put last because it leaves the security of paths and numbered lamp posts and ventures into uncharted territory. You are very likely to get lost. If you can puzzle out the route, you will discover some trees not found on any of the other tours.Once again on the path, towards the end of the tour, there is an especially good opportunity to compare three different European lindens in a close grouping, with an American linden or basswood nearby for contrast.

The trees in Prospect Park are of superlative size and beauty. The Park itself is the finest naturalistic landscape park in the country. Its history, design, and architecture are fully described and pictured in the . . .Prospect Park Handbook by Clay Lancaster, first curator of Prospect Park.

",,Introduction,2
TOUR 1,"TOUR I

Entrance at Lincoln Road ...","TOUR I

Entrance at Lincoln Road and Ocean Avenue, reached by BMT Brighton Beach Express. Get off at Prospect Park Station and follow arrows to Lincoln Road.",,TOUR 1,3
White pines (Pinus strobus),"As you face the park, take the path...","As you face the park, take the path on the right side of the highway with the playground on your right. Across the highway to the left is a group of about fifteen <i style=""color: rgb(156, 39, 176);"">white pines</i>, <b><i style=""color: rgb(156, 39, 176);"">Pinus strobus</i></b>. The one nearest the walk has an especially dramatic outline, with an arching top that leans over towards the walk.",Pinus strobus,TOUR 1,4
European horsechestnuts (Aesculus hippocastanum),Immediately ahead on the highway ed...,"Immediately ahead on the highway edge is a row of <i style=""color: rgb(156, 39, 176);"">European horsechestnuts</i>, <b><i style=""color: rgb(156, 39, 176);"">Aesculus hippocastanum</i></b>. These trees are extremely showy when in bloom, as their spires of white flowers stand upright on the ends of the branches like candles on a giant's Christmas tree. The shiny brown nuts are not edible.",Aesculus hippocastanum,TOUR 1,5
White oak (Quercus alba),"On the right side of the path, insi...","On the right side of the path, inside the fence, the largest tree, the one with a ring of cement blocks at its base, is a <i style=""color: rgb(156, 39, 176);"">white oak</i>, <b><i style=""color: rgb(156, 39, 176);"">Quercus alba</i></b>. The Park contains a number of oak species and offers an excellent opportunity of studying the characteristics of different oaks and learning how to identify them. The <i style=""color: rgb(156, 39, 176);"">white oak</i> is recognized by the rounded lobes and sinuses of the leaves -- characteristics of the <i style=""color: rgb(156, 39, 176);"">white oak</i> group as a whole -- and specifically by the pale bark which peels off in flakes that become larger and looser towards the top of the tree.",Quercus alba,TOUR 1,6
Turkey oak (Quercus cerris),On the left side of the playground ...,"On the left side of the playground entrance is a rare oak from southern Europe and western Asia. This is the <i style=""color: rgb(156, 39, 176);"">Turkey oak</i>, <b><i style=""color: rgb(156, 39, 176);"">Quercus cerris</i></b>. Its neatly designed leaves closely resemble those of the English oak, Q. robur. The acorns are of exceptional beauty. The nuts are long, slender, and highly polished, and are set off by an extravagantly bristled cup. This specimen is in urgent need of care. Recommended treatment would include shaping the ragged wounds on the trunk for rapid healing, removing the many dead limbs, and keeping all exposed sapwood sealed with tree paint to guard against fungus infection.",Quercus cerris,TOUR 1,7
English oak (Quercus robur),On the left side of the playground ...,"On the left side of the playground entrance is a rare oak from southern Europe and western Asia. This is the Turkey oak, Quercus cerris. Its neatly designed leaves closely resemble those of the <i style=""color: rgb(156, 39, 176);"">English oak</i>, <b><i style=""color: rgb(156, 39, 176);"">Q. robur</i></b>. The acorns are of exceptional beauty. The nuts are long, slender, and highly polished, and are set off by an extravagantly bristled cup. This specimen is in urgent need of care. Recommended treatment would include shaping the ragged wounds on the trunk for rapid healing, removing the many dead limbs, and keeping all exposed sapwood sealed with tree paint to guard against fungus infection.",Quercus robur,TOUR 1,8
Pin oak (Quercus palustris),"To the left of the Turkey oak, near...","To the left of the Turkey oak, nearer the playground fence, is a native <i style=""color: rgb(156, 39, 176);"">pin oak</i>, <b><i style=""color: rgb(156, 39, 176);"">Quercus palustris</i></b>. Like other members of the red oak group, the <i style=""color: rgb(156, 39, 176);"">pin oak</i>'s leaves are sharply pointed and toothed. Their small size and deep indentations give an airy appearance. Slender twigs and the drooping habit of the lower branches are added clues to identification.",Quercus palustris,TOUR 1,9
Box elder (Acer negundo),"For a brief detour, follow the iron...","For a brief detour, follow the iron fence around the corner beyond the comfort station. At its end is a four-trunked <i style=""color: rgb(156, 39, 176);"">box elder</i>, <b><i style=""color: rgb(156, 39, 176);"">Acer negundo</i></b>. The <i style=""color: rgb(156, 39, 176);"">box elder</i> is neither boxwood, alder, nor elderberry but is a kind of maple having three separate leaflets instead of a single leaf. Though the leaves are not easily recognized as belonging to a maple, the chains of winged key fruits are proof of identity.",Acer negundo,TOUR 1,10
